title,url,publishedAt,description,source
"Best high-yield savings interest rates today, May 7, 2025: Earn up to 4.36% APY before the next Fed rate cut",https://finance.yahoo.com/personal-finance/banking/article/best-high-yield--savings-interest-rates-today-wednesday-may-7-2025-100044743.html,2025-05-07 10:00:44,,Yahoo Finance
US stock futures rise on China trade de-escalation hopes; Fed on watch,https://finance.yahoo.com/news/us-stock-futures-rise-china-101913470.html,2025-05-07 10:19:13,,Yahoo Finance
Morning Bid: Trade talks at last,https://finance.yahoo.com/news/morning-bid-trade-talks-last-101651306.html,2025-05-07 10:16:51,,Yahoo Finance
"Stock market today: Dow, S&P 500, Nasdaq futures rise with US-China trade talks, Fed rate call in focus",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-nasdaq-futures-rise-with-us-china-trade-talks-fed-rate-call-in-focus-235639800.html,2025-05-06 23:56:39,,Yahoo Finance
Low-cost carriers hit hardest by US travel demand slump,https://finance.yahoo.com/news/low-cost-carriers-hit-hardest-100759233.html,2025-05-07 10:07:59,,Yahoo Finance
"Rising valuations, cloudy earnings view confronts US stocks after tariff rebound",https://finance.yahoo.com/news/rising-valuations-cloudy-earnings-view-100723126.html,2025-05-07 10:07:23,,Yahoo Finance
Onebeat launches in US with funding for inventory management,https://finance.yahoo.com/news/onebeat-launches-us-funding-inventory-100644190.html,2025-05-07 10:06:44,,Yahoo Finance
"Best money market account rates today, May 7, 2025: Secure up to 4.41% APY before the Fed cuts rates",https://finance.yahoo.com/personal-finance/banking/article/best-money-market-account-rates-today-wednesday-may-7-2025-100047721.html,2025-05-07 10:00:47,,Yahoo Finance
These Are The 5 Best Stocks To Buy Now Or Watch,https://www.investors.com/research/best-stocks-to-buy-now/?src=A00220&yptr=yahoo,2025-05-06 18:29:04,,Yahoo Finance
"Best CD rates today, May 7, 2025: Lock in up to 4.40% APY before the next Fed rate cut",https://finance.yahoo.com/personal-finance/banking/article/best-cd-rates-today-wednesday-may-7-2025-100018885.html,2025-05-07 10:00:18,,Yahoo Finance
"Mortgage and refinance interest rates today, May 7, 2025: Will rates go up or down after the Fed meeting?",https://finance.yahoo.com/personal-finance/mortgages/article/mortgage-refinance-rates-today-wednesday-may-7-2025-100016781.html,2025-05-07 10:00:16,,Yahoo Finance
‘Betting on the Final Frontier’: Analysts Pick 2 Space Stocks Poised for Liftoff,https://finance.yahoo.com/news/betting-final-frontier-analysts-pick-100615435.html,2025-05-07 10:06:15,,Yahoo Finance
"OpenAI agrees to buy Windsurf for about $3 billion, Bloomberg News reports",https://finance.yahoo.com/news/openai-agrees-buy-windsurf-3-002133843.html,2025-05-06 00:21:33,,Yahoo Finance
"Oil prices climb 4% on signs of more demand in Europe and China, Middle East tensions",https://finance.yahoo.com/news/oil-steadies-falling-four-lows-010110875.html,2025-05-06 01:01:10,,Yahoo Finance
"Elon Musk to go ahead with lawsuit against OpenAI despite nonprofit control statement, lawyer says",https://finance.yahoo.com/news/elon-musk-keep-lawsuit-against-011627066.html,2025-05-06 01:16:27,,Yahoo Finance
Waymo partners with Magna for new vehicle factory in Arizona,https://finance.yahoo.com/news/waymo-partners-magna-vehicle-factory-011829653.html,2025-05-06 01:18:29,,Yahoo Finance
Gold Tumbles as US-China Trade Talk Optimism Saps Haven Demand,https://finance.yahoo.com/news/gold-tumbles-us-china-trade-235604888.html,2025-05-07 10:03:57,,Yahoo Finance
Five China Stocks Near Buy Points Amid Trump Tariff Trade War Hopes,https://www.investors.com/news/china-stocks-near-buy-points-trump-tariff-trade-war/?src=A00220&yptr=yahoo,2025-05-05 23:24:16,,Yahoo Finance
"Australia's Westpac says 'worst is behind us', finance demand for M&A stronger",https://finance.yahoo.com/news/australias-westpac-says-worst-behind-013428410.html,2025-05-06 01:34:28,,Yahoo Finance
US financial leaders see private assets coming to more investor portfolios,https://finance.yahoo.com/news/us-financial-leaders-see-private-231822146.html,2025-05-05 23:18:22,,Yahoo Finance
"Dollar trades lower, euro gains after Merz elected German chancellor",https://finance.yahoo.com/news/dollar-restrained-surge-asian-counterparts-014447980.html,2025-05-06 01:44:47,,Yahoo Finance
UBS enters private credit alliance with General Atlantic,https://finance.yahoo.com/news/ubs-enters-private-credit-alliance-100338960.html,2025-05-07 10:03:38,,Yahoo Finance
"China's services growth hits 7-month low as tariffs bite, Caixin PMI shows",https://finance.yahoo.com/news/chinas-services-growth-hits-7-015023590.html,2025-05-06 01:50:23,,Yahoo Finance
